id_a,company_name_a,id_b,company_name_b,best_match_score
309994,veolia france,37425,veolia eau,0.21068002443536035
122073,père et fish,6741,père et fish,0.20688793322373636
18956,actia group,206498,actia group sa,0.20550032891862505
320991,paris habitat,69309,paris habitat,0.20540907882951875
6158,columbus cafe  (parent),3907,cafe marlette (parent),0.20519522320388114
342705,mediapost,321197,mediapost,0.20484177264542716
86727,groupe lactalis,174365,lactalis,0.20438691129273873
319610,lectra,344566,lectra,0.20418876130262872
318030,omniservices,344109,omniservices,0.20418876130262872
356249,bureau veritas,317667,bureau veritas france,0.20372931999120464
2127,vins des pyrenees,137065,vins des pyrennées,0.20173619723435704
172581,cnav,317794,cnav,0.19831905266743935
319950,crédit agricole cib,176954,crédit agricole idf,0.19800856319256932
373814,mybizdev,340422,mybizdev.co,0.1939185330672239
176742,coty,103976,coty inc,0.19360165644253272
345102,knauf platres,322157,knauf,0.19358643095339056
13317,big mamma,177167,big mamma,0.1931222752253248
181858,lagardere,175598,lagardere active,0.1912981116421498
423801,système u,342822,systeme u,0.190764747249666
343638,l oréal,81382,l oréal france,0.1898486049248997
211126,apec,319257,apec,0.18893773082143844
101111,grey consulting france,95274,lyreco france,0.18884563358956982
12874,bouygues construction,172937,bouygues,0.18806777787521456
352654,bnp paribas asset management,351595,bnp paribas,0.18767233331529645
61486,efinor,308395,efinor,0.1875658320778667
93973,melvin & hamilton digital,11732,melvin & hamilton digital,0.18735156056807237
176029,axa,175808,axa assistance,0.18642717711954185
317947,bnp paribas itp,321717,bnp paribas ifs,0.1848908523395859
423817,conforama,319995,conforama,0.18477310626782845
344679,sncf transilien,97783,sncf mobilité,0.1843841826760166
343229,bnp paribas cardif,321717,bnp paribas ifs,0.18412778271370098
320689,siemens,342413,siemens,0.18412009492502998
174875,huxley banking & financial services,58007,huxley banking & financial services,0.18222508676643895
172311,bolloré transport logistics,221602,bollore africa logistics,0.175570986729272
98607,samsung russia,369177,samsung,0.17512190760135296
198680,boiron,71019,boiron,0.17498582056225878
79467,audensiel technologies,182148,audensiel technologies,0.17413950021011887
124510,san francisco,8486,san francisco,0.17317135954937285
181969,carrefour market,353029,carrefour,0.1724562001948093
178865,emmaus habitat,175984,habitat,0.17216373605122584
22263,groupe sup de co la rochelle,52620,université de la rochelle,0.170703753316958
89722,microsoft (spain),174845,microsoft,0.1668849863147175
